login,commits
MikeMcQuaid,4079
jacknagel,3192
reitermarkus,1596
adamv,1072
mxcl,951
xu-cheng,810
DomT4,494
mistydemeo,439
UniqMartin,267
ilovezfs,262
alyssais,198
bfontaine,167
GauthamGoli,139
sjackman,134
vladshablinsky,112
commitay,109
tdsmith,107
woodruffw,100
apjanke,88
samueljohn,82
Sharpie,77
jawshooah,75
maxim-belkin,68
zmwangx,58
mansimarkaur,56
JCount,55
amyspark,53
dunn,52
vszakats,40
rwhogg,39
